iter	F1	Logloss
0	0.4845207312	0.6735508669
1	0.5233744881	0.6576173455
2	0.549883304	0.6450834168
3	0.5758014289	0.6346517959
4	0.5748546753	0.6264383035
5	0.5749245378	0.6197761424
6	0.5748870507	0.6143502009
7	0.5519402531	0.6082848736
8	0.6003345568	0.6035348735
9	0.6021474855	0.5993389661
10	0.6020757877	0.5949724829
11	0.6032930614	0.5914817049
12	0.6194423451	0.587054357
13	0.6425258819	0.5838404483
14	0.654546157	0.580811704
15	0.6547178047	0.5777647545
16	0.6546149983	0.5749688212
17	0.6642808427	0.5716377785
18	0.6646543964	0.5689365602
19	0.6553066584	0.5665787466
20	0.6678693752	0.5640717082
21	0.6682536594	0.5618437273
22	0.6693118366	0.5595622815
23	0.6575866631	0.5573523225
24	0.6588078429	0.5553017317
25	0.6595297325	0.5530582292
26	0.6686120012	0.551095804
27	0.6696355997	0.5493284892
28	0.6784177969	0.547516822
29	0.6970730258	0.5457335787
30	0.697730875	0.5438814689
31	0.6980439599	0.5423345483
32	0.6979728701	0.5407617409
33	0.6985671502	0.5392277967
34	0.6988456958	0.5374856424
35	0.6987947335	0.5360975025
36	0.6991752838	0.5347269048
37	0.699308589	0.532885438
38	0.6995900043	0.5313241811
39	0.6994101423	0.5299216842
40	0.6998845896	0.528531155
41	0.7046113132	0.5270961331
42	0.7053952025	0.525909959
43	0.7109693165	0.5245852891
44	0.7115781586	0.5234379138
45	0.7177500904	0.5221513543
46	0.7177560676	0.5209338922
47	0.7180784279	0.5196835936
48	0.7241456851	0.5185852135
49	0.7243819842	0.5171975593
50	0.724375757	0.5160248892
51	0.7246948445	0.5146955533
52	0.7248393694	0.5137492202
53	0.7237757795	0.5126066685
54	0.7270587809	0.5116078533
55	0.7276260227	0.5104700594
56	0.7279981191	0.5095783894
57	0.7282491167	0.5085029966
58	0.7324640531	0.5074941131
59	0.7402969933	0.5065950982
60	0.7404505177	0.5054896036
61	0.7422856837	0.5044660231
62	0.7383207681	0.5032869852
63	0.7379808726	0.5024232216
64	0.7381400434	0.5014504753
65	0.7384535994	0.5007172429
66	0.7388028959	0.5000054101
67	0.741869229	0.4987241711
68	0.7421503126	0.4978478802
69	0.7424497722	0.497042979
70	0.7425648202	0.4962439964
71	0.7390081442	0.4953653409
72	0.7393181843	0.4945691939
73	0.7396752837	0.4938350624
74	0.7397969783	0.4930714871
75	0.7433497537	0.4922344547
76	0.7474791992	0.4915498145
77	0.7474716606	0.4907563455
78	0.7470157299	0.4900770984
79	0.7472952829	0.4894437194
80	0.7473603324	0.4884466014
81	0.7509870776	0.4877091762
82	0.7512092445	0.4870410672
83	0.7513012667	0.4864417687
84	0.753525011	0.4856726188
85	0.7536993178	0.4848776628
86	0.7538625221	0.484122466
87	0.7586592218	0.4835828876
88	0.7587517876	0.4828803689
89	0.7589022231	0.4822460089
90	0.759246253	0.4814880144
91	0.7592879502	0.4808947214
92	0.7596237602	0.4803262241
93	0.7599339841	0.47971099
94	0.7601258356	0.4791452613
95	0.7602409808	0.4784799267
96	0.7601745768	0.4779182917
97	0.7637285764	0.4773836513
98	0.7640914783	0.4767878197
99	0.7641604142	0.4761930484
100	0.7643248839	0.4755836482
101	0.7645567318	0.4750269911
102	0.7644551072	0.4743632163
103	0.7645711448	0.4738149891
104	0.7646918951	0.4731866369
105	0.7650389737	0.472653622
106	0.7679884573	0.4720787689
107	0.767975576	0.4714245293
108	0.7680496262	0.4708312963
109	0.7677774021	0.4701683834
110	0.7679900139	0.4697232077
111	0.7710757985	0.4692346907
112	0.7708750881	0.4684549054
113	0.7711097834	0.4679473085
114	0.7713037196	0.4674856096
115	0.7722066613	0.46704119
116	0.7723015273	0.4663778953
117	0.772453471	0.4658138824
118	0.7723712484	0.4652711634
119	0.772362739	0.4647424162
120	0.7760783177	0.4642482119
121	0.7762016004	0.4637378552
122	0.77619161	0.4632222074
123	0.7765758556	0.4626795855
124	0.7766172483	0.4619891046
125	0.7785929963	0.4615143589
126	0.7786315782	0.4609883281
127	0.7787444869	0.4605002908
128	0.7789807053	0.4599912449
129	0.7792290034	0.4595912023
130	0.7785482041	0.45912705
131	0.7786637433	0.4586828869
132	0.7787826566	0.4582779618
133	0.7753544657	0.4577267958
134	0.7754006621	0.4572846366
135	0.775554717	0.4568408866
136	0.7756141972	0.4564817248
137	0.7758191629	0.4560039579
138	0.7759324181	0.4555500555
139	0.7759281818	0.4550040451
140	0.7759365396	0.4545798997
141	0.7759593484	0.4541449111
142	0.7761141338	0.4536501608
143	0.7761920421	0.4531964232
144	0.7764623642	0.4526669829
145	0.7765077981	0.4522579405
146	0.7765708215	0.4517834599
147	0.7808120721	0.4513804979
148	0.7809789056	0.4509949839
149	0.7845771161	0.4506057423
150	0.784712173	0.4502168558
151	0.7847702054	0.4497670314
152	0.7849254584	0.4494243869
153	0.7849479649	0.449046293
154	0.7851413175	0.4486444399
155	0.7855041665	0.4482515979
156	0.7857435589	0.4477161949
157	0.7857274609	0.4471361773
158	0.7819305545	0.4467209252
159	0.7843751392	0.4463415455
160	0.7845025532	0.4460057223
161	0.782993459	0.4456001867
162	0.7832209625	0.4451455204
163	0.7834466458	0.4447531617
164	0.7835328467	0.444393886
165	0.7835609662	0.4439690446
166	0.7836828636	0.4435788654
167	0.7838421723	0.4432342188
168	0.7878267356	0.4427895217
169	0.7879140393	0.4424008156
170	0.787393166	0.4420252002
171	0.7875149731	0.4416740733
172	0.7876564671	0.4412510129
173	0.7877406594	0.4408947021
174	0.7868911997	0.4405478114
175	0.7868444676	0.4401079589
176	0.7884668017	0.439684861
177	0.789278835	0.4393086526
178	0.7878076973	0.4389509373
179	0.7878203418	0.4385842797
180	0.7879676932	0.4383016827
181	0.7880263437	0.4379852719
182	0.7881811126	0.4376750513
183	0.7882013887	0.4373284007
184	0.7918638716	0.4370459639
185	0.7918471511	0.4364965714
186	0.7919871806	0.4361800546
187	0.7920756373	0.4358846503
188	0.7922776298	0.4355725179
189	0.7924319103	0.435263198
190	0.7922435601	0.4349360287
191	0.7923305299	0.4346160662
192	0.794280399	0.4343134528
193	0.7943295154	0.4339923801
194	0.7942842194	0.4336675349
195	0.794300798	0.4332321414
196	0.7956523804	0.4329070134
197	0.7955729874	0.4326044874
198	0.7955391344	0.432157146
199	0.7955894078	0.4318851649
200	0.7956695211	0.4315257168
201	0.7960983948	0.431203081
202	0.7976057068	0.4308418824
203	0.7976628538	0.4305621285
204	0.797846056	0.4302392913
205	0.7978811623	0.4299372219
206	0.7979392122	0.4296605616
207	0.7979309341	0.4293765675
208	0.7979676255	0.429081341
209	0.7972071647	0.4287219271
210	0.7972926645	0.4284235636
211	0.795872854	0.4281067905
212	0.7974567526	0.4278067018
213	0.7965631232	0.4275413125
214	0.7966546754	0.4272018061
215	0.7993256236	0.4269365544
216	0.7994339284	0.4266626034
217	0.7994853825	0.4263007234
218	0.7995828805	0.4260358338
219	0.7982776158	0.4257238558
220	0.7983212364	0.425410182
221	0.7984176593	0.4251635664
222	0.7984665602	0.4248921044
223	0.7994121073	0.4246083356
224	0.7994594814	0.4243329553
225	0.7995326232	0.4240748866
226	0.7995461704	0.4235758452
227	0.7996152635	0.4232932128
228	0.7996464349	0.4229897055
229	0.8007494386	0.4227472997
230	0.8022797256	0.422479656
231	0.8032488844	0.4222033505
232	0.8033562547	0.4219464589
233	0.8032975447	0.4216791175
234	0.8041751346	0.4213494237
235	0.8042287031	0.4211368647
236	0.8043240183	0.4208854836
237	0.8044066551	0.4206287441
238	0.8044801575	0.4203494677
239	0.8045391276	0.4200859216
240	0.8046076178	0.419847871
241	0.8060143394	0.4195770363
242	0.8060225762	0.4192355967
243	0.8060007805	0.4189712641
244	0.8065275117	0.4187183745
245	0.8056742265	0.4184785907
246	0.8056787216	0.4181512738
247	0.8057833725	0.4179146569
248	0.8058688391	0.4176557096
249	0.8060194371	0.4174407925
